,annual return,annual sharpe ratio,max drawdown,negative day,negative periods,negative week,portfolio value,positive periods,postive day,postive week
nntrader,-0.005954778649997329,-24.996991516056788,0.059716837258619315,1322,1170,1370,0.9402258054684535,91,48,0
olmar,-0.3406983436499239,-67.6454686869551,0.970657717436552,1370,1013,1370,0.02927965298295021,340,0,0
ons,-0.009838153819272303,-5.032782086462349,0.11591511964797974,780,715,1047,0.9031454920768738,655,590,323
